Basename,ContentLength,ETag,Key
Box 13_48-08-22_(01)_The First Letter.mp3,6548293,7a91acc2dd45d7012bb21785615b8edd,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-08-22_(01)_The First Letter.mp3
Box 13_48-08-29_(02)_Insurance Fraud Scheme.mp3,6582816,44447afc4050370e827cef39af34c85d,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-08-29_(02)_Insurance Fraud Scheme.mp3
Box 13_48-09-05_(03)_Blackmail Is Murder.mp3,6503253,afbb38cb1dec26bda9caee19b8f4455f,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-09-05_(03)_Blackmail Is Murder.mp3
Box 13_48-09-12_(04)_Actor's Alibi.mp3,6380007,b13171697e10d37bb4ebd4096ee4ddf4,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-09-12_(04)_Actor's Alibi.mp3
Box 13_48-09-19_(05)_Extra! Extra!.mp3,6435023,a0fe9f9a23f72c3dbc32e8a57bb6e2f7,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-09-19_(05)_Extra! Extra!.mp3
Box 13_48-09-26_(06)_Shanghaied.mp3,6583428,148d1ea5cacf7624366602fe519da9b0,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-09-26_(06)_Shanghaied.mp3
Box 13_48-10-03_(07)_Short Assignment.mp3,6468410,bb08469aa7fa8a486fc9437e81483f8a,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-10-03_(07)_Short Assignment.mp3
Box 13_48-10-10_(08)_Double Mothers.mp3,6573552,4db8e6c2607db4312a6e9b7733eb9e1c,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-10-10_(08)_Double Mothers.mp3
Box 13_48-10-17_(09)_Book Of Poems.mp3,6564087,fa1b342edcd3005ebb1c6d9e564806ea,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-10-17_(09)_Book Of Poems.mp3
Box 13_48-10-24_(10)_The Great Torino.mp3,6511882,eb83efcab426da4d44fd3111bc774da8,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-10-24_(10)_The Great Torino.mp3
Box 13_48-10-31_(11)_Suicide Or Murder.mp3,6481411,cd729b78133958df6711395c703d6603,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-10-31_(11)_Suicide Or Murder.mp3
Box 13_48-11-07_(12)_Triple Cross.mp3,6485254,7f5e8f2ed9caf8230458c0113fa2193e,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-11-07_(12)_Triple Cross.mp3
Box 13_48-11-14_(13)_Damsel In Distress.mp3,6500132,24ceb4139de6cd7563c305cb12c19b77,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-11-14_(13)_Damsel In Distress.mp3
Box 13_48-11-21_(14)_Diamond In The Sky.mp3,6554524,1281a957472c5e01fe12463767b7f6dd,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-11-21_(14)_Diamond In The Sky.mp3
Box 13_48-11-28_(15)_Double Right Cross.mp3,6520657,b185255730e9d95b08e57c03a15b272d,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-11-28_(15)_Double Right Cross.mp3
"Box 13_48-12-05_(16)_Look Pleasant, Please.mp3",6558479,9262d3f43f46962448a3328e35e52a19,"Audio_Entertainment/Box 13/Box13_group01/Box 13_48-12-05_(16)_Look Pleasant, Please.mp3"
Box 13_48-12-12_(17)_The Haunted Artist.mp3,6531228,21ff4123d0d9c63b486c25a27362f1db,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-12-12_(17)_The Haunted Artist.mp3
Box 13_48-12-19_(18)_The Sad Night.mp3,6459463,fe34d223580b51a73df908671fb94a1d,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-12-19_(18)_The Sad Night.mp3
Box 13_48-12-26_(19)_Hot Box.mp3,6552017,4e73fc8e566aaa45aae3628ce35457ce,Audio_Entertainment/Box 13/Box13_group01/Box 13_48-12-26_(19)_Hot Box.mp3
Box 13_49-01-02_(20)_The Better Man.mp3,6625240,e592770441346b0dc55130b53aaef6fc,Audio_Entertainment/Box 13/Box13_group01/Box 13_49-01-02_(20)_The Better Man.mp3
Box 13_49-01-09_(21)_The Professor And The Puzzle.mp3,6456462,12483016f8ed185074ea857cbfffa183,Audio_Entertainment/Box 13/Box13_group01/Box 13_49-01-09_(21)_The Professor And The Puzzle.mp3
